speaker,speaker_party,target,target_type,mentions,speeches,per_1000_words
Marianne Samuelsson,MP,Lars Leijonborg,person,6,4,0.3484
Matz Hammarström,MP,Lennart Daléus,person,6,5,0.3581
Märta Stenevi,MP,Annie Lööf,person,6,3,0.6085
Per Bolund,MP,Martin Kinnunen,person,6,4,0.2766
Birger Schlaug,MP,Gudrun Schyman,person,5,4,0.1033
Lotta N Hedström,MP,M,party,5,3,1.6244
Maria Wetterstrand,MP,Gudrun Schyman,person,5,3,0.1083
Marianne Samuelsson,MP,Alf Svensson,person,5,1,0.2904
Marianne Samuelsson,MP,Mats Odell,person,5,3,0.2904
Matz Hammarström,MP,Lena Ek,person,5,3,0.2985
Matz Hammarström,MP,S,party,5,5,0.2985
Per Bolund,MP,Nooshi Dadgostar,person,5,4,0.2305
Per Bolund,MP,Oscar Sjöstedt,person,5,2,0.2305
Per Bolund,MP,S,party,5,4,0.2305
Peter Eriksson,MP,C,party,5,3,0.0853
Amanda Lind,MP,M,party,4,4,0.3769
Birger Schlaug,MP,Bengt Westerberg,person,4,3,0.0826
Birger Schlaug,MP,Eva Eriksson,person,4,3,0.0826
Birger Schlaug,MP,Marianne Samuelsson,person,4,4,0.0826
Daniel Helldén,MP,V,party,4,2,0.3227
Gustav Fridolin,MP,Isabella Lövin,person,4,4,0.0664
Gustav Fridolin,MP,Mattias Karlsson,person,4,3,0.0664
Lotta N Hedström,MP,S,party,4,3,1.2995
Maria Wetterstrand,MP,Roger Tiefensee,person,4,3,0.0866
Peter Eriksson,MP,SD,party,4,3,0.0683
Amanda Lind,MP,C,party,3,2,0.2826
Amanda Lind,MP,Daniel Helldén,person,3,3,0.2826
Amanda Lind,MP,Elisabeth Thand Ringqvist,person,3,2,0.2826
Birger Schlaug,MP,Anna Lindh,person,3,2,0.062
Birger Schlaug,MP,Mona Sahlin,person,3,2,0.062
Daniel Helldén,MP,Amanda Lind,person,3,3,0.242
Daniel Helldén,MP,Johan Pehrson,person,3,3,0.242
Gustav Fridolin,MP,Björn Söder,person,3,3,0.0498
Gustav Fridolin,MP,Lars Ohly,person,3,3,0.0498
Isabella Lövin,MP,Andreas Carlson,person,3,3,0.0907
Isabella Lövin,MP,Johan Pehrson,person,3,3,0.0907
Maria Wetterstrand,MP,Bo Lundgren,person,3,2,0.065
Marianne Samuelsson,MP,C,party,3,3,0.1742
Per Bolund,MP,Ebba Busch Thor,person,3,3,0.1383
Peter Eriksson,MP,Alice Åström,person,3,2,0.0512
Peter Eriksson,MP,Mona Sahlin,person,3,3,0.0512
Åsa Romson,MP,Anders W Jonsson,person,3,3,0.0626
Birger Schlaug,MP,Peter Eriksson,person,2,2,0.0413
Daniel Helldén,MP,C,party,2,2,0.1613
Daniel Helldén,MP,Henrik Vinge,person,2,2,0.1613
Lotta N Hedström,MP,L,party,2,2,0.6498
Lotta N Hedström,MP,Lars Leijonborg,person,2,2,0.6498
Maria Wetterstrand,MP,Ingrid Burman,person,2,1,0.0433
Marianne Samuelsson,MP,KD,party,2,2,0.1161
Marianne Samuelsson,MP,V,party,2,2,0.1161
Matz Hammarström,MP,C,party,2,2,0.1194
Matz Hammarström,MP,Gudrun Schyman,person,2,2,0.1194
Matz Hammarström,MP,V,party,2,2,0.1194
Märta Stenevi,MP,Stefan Löfven,person,2,1,0.2028
Per Bolund,MP,Jonas Sjöstedt,person,2,1,0.0922
Per Bolund,MP,Magdalena Andersson,person,2,2,0.0922
Peter Eriksson,MP,Jimmie Åkesson,person,2,2,0.0341
Åsa Romson,MP,Björn Söder,person,2,1,0.0417
Birger Schlaug,MP,Johan Lönnroth,person,1,1,0.0207
