speaker,speaker_party,target,target_type,mentions,speeches,per_1000_words
Maud Olofsson,C,Roger Tiefensee,person,1,1,0.0092
Muharrem Demirok,C,Bengt Westerberg,person,1,1,0.0439
Muharrem Demirok,C,Jan Björklund,person,1,1,0.0439
Muharrem Demirok,C,Martin Kinnunen,person,1,1,0.0439
Olof Johansson,C,Bo Lundgren,person,1,1,0.0217
Olof Johansson,C,Lennart Daléus,person,1,1,0.0217
Olof Johansson,C,Mona Sahlin,person,1,1,0.0217
Rickard Nordin,C,KD,party,1,1,0.1266
Rickard Nordin,C,L,party,1,1,0.1266
Roger Tiefensee,C,Jan Björklund,person,1,1,0.3871
Rolf Kenneryd,C,Arne Kjörnsberg,person,1,1,2.2936
Rolf Kenneryd,C,Per Erik Granström,person,1,1,2.2936
Rolf Kenneryd,C,S,party,1,1,2.2936
