session,budget_year,expenditure_area,expenditure_area_name,actor,proposal_type,amount_msek,deviation_msek,budget_share_pct,document_id,source_url
2016/17,2017,9,"Hälsovård, sjukvård och social omsorg",KD,party_motion,73075,4579,7.7085,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,KD,party_motion,104404,-2648,11.0133,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,11,Ekonomisk trygghet vid ålderdom,KD,party_motion,36072,1298,3.8052,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,12,Ekonomisk trygghet för familjer och barn,KD,party_motion,92459,2968,9.7533,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,13,Jämställdhet och nyanlända invandrares etablering,KD,party_motion,31333,-1302,3.3052,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,14,Arbetsmarknad och arbetsliv,KD,party_motion,69198,-6459,7.2995,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,15,Studiestöd,KD,party_motion,18954,-3480,1.9994,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,16,Utbildning och universitetsforskning,KD,party_motion,73025,644,7.7032,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,17,"Kultur, medier, trossamfund och fritid",KD,party_motion,13966,-555,1.4732,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",KD,party_motion,1161,-5604,0.1225,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,19,Regional tillväxt,KD,party_motion,3599,4,0.3797,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,20,Allmän miljö- och naturvård,KD,party_motion,5449,-2955,0.5748,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,21,Energi,KD,party_motion,2764,-113,0.2916,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,22,Kommunikationer,KD,party_motion,55467,352,5.8511,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
