budget_year,expenditure_area,expenditure_area_name,appropriation_rows,approved_budget_msek,amendments_msek,outturn_msek,source_url
1999,21,Energi,17,1718.906,0.0,1141.61632315,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,22,Kommunikationer,37,24999.347,-0.7199999999999989,25085.246887479996,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,23,"Areella näringar, landsbygd och livsmedel",54,11962.707,12.0,11914.38640394,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,24,Näringsliv,41,2901.282,11.850000000000001,3284.13341567,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,25,Allmänna bidrag till kommuner,5,103564.7,-40.0,102542.45954482001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,26,Statsskuldsräntor m.m.,3,84560.0,0.0,89884.70945656,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,27,Avgiften till Europeiska unionen,3,21908.0,0.0,20883.95691418,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,1,Rikets styrelse,25,8179.083,79.67000000000002,8535.321127610001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,2,Samhällsekonomi och finansförvaltning,33,9336.145000000002,-116.7,8912.830837769996,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,3,"Skatt, tull och exekution",4,7263.357,0.0,7566.8252605,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,4,Rättsväsendet,15,21322.762999999995,77.08200000000001,21917.136966949998,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,5,Internationell samverkan,27,1092.3349999999998,0.0,1092.5035449900001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,6,Försvar och samhällets krisberedskap,34,47022.67999999999,15.890000000000015,46542.53865931,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,7,Internationellt bistånd,6,13236.909,0.0,15317.4747791,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,8,Migration,8,2164.563,0.0,2223.3789864200003,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,9,"Hälsovård, sjukvård och social omsorg",39,25354.492999999995,2125.03,28564.966363400006,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,8,92470.46899999998,3800.0,97936.78719252,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,11,Ekonomisk trygghet vid ålderdom,4,33618.8,0.0,33537.532529159995,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,12,Ekonomisk trygghet för familjer och barn,8,50425.5,-957.5,48968.98655292,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,13,Integration och jämställdhet,13,8278.94,0.08,8244.06703573,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,14,Arbetsmarknad och arbetsliv,21,63402.405999999995,3197.0,60886.27418287,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,15,Studiestöd,8,21324.697,-519.805,20048.75604351,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,16,Utbildning och universitetsforskning,110,32246.963000000003,-80.01300000000009,31013.09854436001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,17,"Kultur, medier, trossamfund och fritid",58,7570.485999999999,26.5,7588.617362609999,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",22,8088.522,7.522,5641.382831470003,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,19,Regional utveckling,17,3302.365,-225.0,2998.15959883,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,20,"Klimat, miljö och natur",26,1829.1850000000004,0.0,1822.4356061100002,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,21,Energi,19,1483.192,434.87,1767.80674794,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,22,Kommunikationer,33,25036.377,531.542,24858.89181984,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,23,"Areella näringar, landsbygd och livsmedel",49,9715.023000000001,6.609999999999999,9727.242038530001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,24,Näringsliv,42,2978.2819999999997,18.401,3809.9740954199992,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,25,Allmänna bidrag till kommuner,4,97666.7,619.233,97534.54400837,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,26,Statsskuldsräntor m.m.,3,81810.0,0.0,90213.31361424,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2000,27,Avgiften till Europeiska unionen,1,23083.0,0.0,22295.01241773,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,1,Rikets styrelse,22,9030.068,72.756,9166.40918305,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,2,Samhällsekonomi och finansförvaltning,31,8809.813,785.7560000000001,9581.995875550001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,3,"Skatt, tull och exekution",4,7568.616999999999,9.325999999999999,7823.924184150001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,4,Rättsväsendet,14,22608.655,770.2099999999999,22753.72909515,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
