session,budget_year,expenditure_area,expenditure_area_name,actor,proposal_type,proposed_msek,approved_budget_msek,amendments_msek,outturn_msek,outturn_minus_proposal_msek,proposal_source_url,outturn_source_url
2016/17,2017,12,Ekonomisk trygghet för familjer och barn,GOV,government,89491,89491.39799999999,-104.563,88659.9255322,-831.0744678000046,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,13,Jämställdhet och nyanlända invandrares etablering,GOV,government,32635,26255.493000000002,22.0,18575.778093289995,-14059.221906710005,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,14,Arbetsmarknad och arbetsliv,GOV,government,75657,82036.40100000003,60.5,76914.21546636001,1257.2154663600086,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,15,Studiestöd,GOV,government,22434,22433.998999999996,0.0,19670.73538058,-2763.264619419999,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,16,Utbildning och universitetsforskning,GOV,government,72381,72386.70700000001,676.45,71104.11209991004,-1276.8879000899615,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,17,"Kultur, medier, trossamfund och fritid",GOV,government,14521,14521.253999999999,0.0,14475.495515710001,-45.5044842899988,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",GOV,government,6765,6764.5599999999995,40.0,3802.6354355000003,-2962.3645644999997,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,19,Regional tillväxt,GOV,government,3595,3595.4809999999998,0.0,2808.29513749,-786.7048625100001,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,20,Allmän miljö- och naturvård,GOV,government,8404,8403.539,509.0,7780.1020456,-623.8979544000003,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,21,Energi,GOV,government,2877,2936.295,203.0,3051.663969999999,174.66396999999915,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,22,Kommunikationer,GOV,government,55115,55039.651999999995,43.0,53223.35690792,-1891.6430920799976,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,23,"Areella näringar, landsbygd och livsmedel",GOV,government,17189,17189.401,1052.5,17225.16740526,36.167405259999214,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,24,Näringsliv,GOV,government,6456,6456.0199999999995,400.0,6415.597453350001,-40.40254664999884,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,25,Allmänna bidrag till kommuner,GOV,government,105555,105554.92,11.236,105565.837046,10.837046000000555,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,26,Statsskuldsräntor m.m.,GOV,government,16468,16467.79,0.0,10568.71727342,-5899.282726580001,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
