session,budget_year,party,expenditure_area,expenditure_area_name,amount_msek,deviation_msek,budget_share_pct,speech_keyword_occurrences,speech_attention_pct,attention_minus_budget_pp,alignment_correlation,source_url
2016/17,2017,L,25,Allmänna bidrag till kommuner,99621,-5934,10.552,4,6.6667,-3.8853,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,26,Statsskuldsräntor m.m.,16468,0,1.7443,0,0.0,-1.7443,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,27,Avgiften till Europeiska unionen,29586,0,3.1338,0,0.0,-3.1338,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,1,Rikets styrelse,13070,-198,1.3736,0,0.0,-1.3736,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,2,Samhällsekonomi och finansförvaltning,15089,-170,1.5858,2,5.5556,3.9698,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,3,"Skatt, tull och exekution",10974,-12,1.1534,4,11.1111,9.9577,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,4,Rättsväsendet,43523,1056,4.5742,1,2.7778,-1.7964,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,5,Internationell samverkan,1913,0,0.2011,0,0.0,-0.2011,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,6,Försvar och samhällets krisberedskap,50254,0,5.2817,2,5.5556,0.2739,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,7,Internationellt bistånd,33592,-1398,3.5305,0,0.0,-3.5305,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,8,Migration,32072,-508,3.3707,1,2.7778,-0.5929,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,9,"Hälsovård, sjukvård och social omsorg",68060,-436,7.1531,1,2.7778,-4.3753,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,102369,-4683,10.7589,0,0.0,-10.7589,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,11,Ekonomisk trygghet vid ålderdom,34972,198,3.6755,1,2.7778,-0.8977,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,12,Ekonomisk trygghet för familjer och barn,88784,-707,9.3311,0,0.0,-9.3311,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,13,Jämställdhet och nyanlända invandrares etablering,32546,-89,3.4206,5,13.8889,10.4683,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,14,Arbetsmarknad och arbetsliv,72028,-3629,7.5701,1,2.7778,-4.7923,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,15,Studiestöd,22583,149,2.3735,0,0.0,-2.3735,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,16,Utbildning och universitetsforskning,72392,11,7.6083,4,11.1111,3.5028,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,17,"Kultur, medier, trossamfund och fritid",14042,-479,1.4758,0,0.0,-1.4758,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",1229,-5536,0.1292,0,0.0,-0.1292,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,19,Regional tillväxt,3595,0,0.3778,0,0.0,-0.3778,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,20,Allmän miljö- och naturvård,6288,-2116,0.6609,4,11.1111,10.4502,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,21,Energi,2456,-421,0.2581,5,13.8889,13.6308,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,22,Kommunikationer,54695,-420,5.7484,0,0.0,-5.7484,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,23,"Areella näringar, landsbygd och livsmedel",16887,-302,1.7748,0,0.0,-1.7748,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,24,Näringsliv,6055,-401,0.6364,3,8.3333,7.6969,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,25,Allmänna bidrag till kommuner,105959,404,11.1362,2,5.5556,-5.5806,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,26,Statsskuldsräntor m.m.,16468,0,1.7308,0,0.0,-1.7308,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,27,Avgiften till Europeiska unionen,29586,0,3.1095,0,0.0,-3.1095,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,1,Rikets styrelse,12658,-610,1.3571,1,2.0,0.6429,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,2,Samhällsekonomi och finansförvaltning,15451,192,1.6566,1,2.0,0.3434,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,3,"Skatt, tull och exekution",11361,375,1.2181,2,4.0,2.7819,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,4,Rättsväsendet,45134,2667,4.8391,3,6.0,1.1609,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,5,Internationell samverkan,2754,841,0.2953,0,0.0,-0.2953,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,6,Försvar och samhällets krisberedskap,52346,2092,5.6123,3,6.0,0.3877,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,7,Internationellt bistånd,36040,1050,3.864,2,4.0,0.136,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,8,Migration,20060,-12520,2.1507,7,14.0,11.8493,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,9,"Hälsovård, sjukvård och social omsorg",71240,2744,7.638,2,4.0,-3.638,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,111462,4410,11.9505,0,0.0,-11.9505,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,11,Ekonomisk trygghet vid ålderdom,39941,5167,4.2823,6,12.0,7.7177,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
