speaker,speaker_party,target,target_type,mentions,speeches,per_1000_words
Ebba Busch Thor,KD,Göran Persson,person,1,1,0.0599
Ebba Busch Thor,KD,Mikael Damberg,person,1,1,0.0599
Ebba Busch Thor,KD,Per Bolund,person,1,1,0.0599
Göran Hägglund,KD,Alf Svensson,person,1,1,0.0093
Göran Hägglund,KD,Andreas Carlson,person,1,1,0.0093
Göran Hägglund,KD,Björn Söder,person,1,1,0.0093
Göran Hägglund,KD,Lars Tobisson,person,1,1,0.0093
Göran Hägglund,KD,Magdalena Andersson,person,1,1,0.0093
Margareta Viklund,KD,Anna Lindh,person,1,1,0.9009
Mats Odell,KD,Anna Lindh,person,1,1,0.2098
Mats Odell,KD,Bo Könberg,person,1,1,0.2098
Mats Odell,KD,L,party,1,1,0.2098
Mats Odell,KD,Lars Leijonborg,person,1,1,0.2098
Mats Odell,KD,Lars Tobisson,person,1,1,0.2098
Mats Odell,KD,M,party,1,1,0.2098
Ulf Björklund,KD,L,party,1,1,0.7675
